name,group,city,state,iata,latitude,longitude
Daniel Edward Dean,10510117,Lake Saint Louis,Missouri,50,38.7975,-90.7855556
Jessica Lynn Inman Birkhead,10510117,Chesterfield,Missouri,51,38.6630556,-90.5769444
Lainey Lauren Schifferdecker,10510117,Columbia,Illinois,52,38.4436111,-90.2011111
Todd Simonds,10510118,Jacksonville,Florida,53,30.3319444,-81.6558333
Michael J. Allen,10510119,San Antonio,Texas,54,29.4238889,-98.4933333
Spencer Read,10510119,Helotes,Texas,55,29.5777778,-98.6894444
William Chandler,10510119,San Antonio,Texas,56,29.4238889,-98.4933333
Teddy Joseph Edmond Voutour,10510119,Helotes,Texas,57,29.5777778,-98.6894444
Cleburne R. Burgess,10510119,Fair Oaks Ranch,Texas,58,29.7455556,-98.6430556
Shanna Limas,10510119,San Antonio,Texas,59,29.4238889,-98.4933333
Ramsey Devereaux,10510119,San Antonio,Texas,60,29.4238889,-98.4933333
Kathleen L. Swain,10510119,Peoria,Arizona,61,33.5805556,-112.2366667
David S. Franck,10510119,San Antonio,Texas,62,29.4238889,-98.4933333
Daniela Wheeler,10510119,Boerne,Texas,63,29.7944444,-98.7316667
Michael P. Burns,10510119,San Antonio,Texas,64,29.4238889,-98.4933333
Leif Agerholm Roll,10510120,Bloomington,Illinois,65,40.4841667,-88.9936111
Gregory E. Williams,10510122,Marblehead,Massachusetts,66,42.5,-70.8583333
David Sheldon,10510122,Simsbury,Connecticut,67,41.8758333,-72.8016667
Tracy Ann Weber,10510122,Southbury,Connecticut,68,41.4813889,-73.2136111
Prasanth Vijayakumar,10510122,Stamford,Connecticut,69,41.0533333,-73.5391667
Gregory Hayward,10510123,Bloomington,Illinois,70,40.4841667,-88.9936111
Scott T. Christensen,10510123,Salem,Oregon,71,44.9430556,-123.0338889
Blake Konrardy,10510123,San Francisco,California,72,37.775,-122.4183333
Scott Farris,10510123,Bloomington,Illinois,73,40.4841667,-88.9936111
"Reynaldo Medina, III",10510124,San Antonio,Texas,74,29.4238889,-98.4933333
"Michael Patrick Bueche, Jr.",10510124,San Antonio,Texas,75,29.4238889,-98.4933333
Dong Li,10510125,Shanghai,,76,,
Wei Zhang,10510125,Shanghai,,77,,
Stephen Chu,10510125,Beavercreek,Ohio,78,39.7091667,-84.0633333
Min Gong,10510125,Shanghai,,79,,
Jun Chi Yan,10510125,Shanghai,,80,,
"William P. Alberth, Jr.",10510127,Prairie Grove,Illinois,81,42.2786111,-88.2608333
Theresa N. Gillette,10510127,Wichita,Kansas,82,37.6922222,-97.3372222
Shaun B. Atchison,10510127,Wichita,Kansas,83,37.6922222,-97.3372222
John W. Uerkvitz,10510127,Valley Center,Kansas,84,37.8347222,-97.3730556
Brian D. Rigg,10510127,Douglass,Kansas,85,37.5194444,-97.0125
Tyler P. McCune,10510127,El Dorado,Kansas,86,37.8172222,-96.8619444
Joseph R. Ribbich,10510127,Skokie,Illinois,87,42.0333333,-87.7333333
Tom R. Tasker,10510127,Andover,Kansas,88,37.7138889,-97.1361111
Aneek M. Noor,10510127,Wichita,Kansas,89,37.6922222,-97.3372222
Daniel S. Middleton,10510127,Wichita,Kansas,90,37.6922222,-97.3372222
Jedidiah O. Bentz,10510127,Wichita,Kansas,91,37.6922222,-97.3372222
Barnaby John James,10510129,San Jose,California,92,37.3394444,-121.8938889
Bala Venkata Sai Ravi Krishna Kolluri,10510129,Fremont,California,93,37.5483333,-121.9875
Ravi K. Raheja,10510130,Nashville,Tennessee,94,36.1658333,-86.7844444
Charu G. Raheja,10510130,Winston-Salem,North Carolina,95,36.0997222,-80.2444444
Nicole Blohm,10510131,Mount Pleasant,South Carolina,96,32.7938889,-79.8627778
Stephen Cousins,10510131,Nashville,Tennessee,97,36.1658333,-86.7844444
Jesse H. Davis,10510132,Demarest,New Jersey,98,40.9572222,-73.9638889
"John J. Backof, II",10510132,Irwin,Pennsylvania,99,40.3244444,-79.7013889
Robin Atkins,10510134,San Jose,California,100,37.3394444,-121.8938889
Patrick D. Griffis,10510134,Sunnyvale,California,101,37.3688889,-122.0352778
Raymond Yeung,10510134,Los Angeles,California,102,34.0522222,-118.2427778
Thaddeus Beier,10510134,Lafayette,California,103,37.8858333,-122.1169444
David J. Macannuco,10510137,Winchester,Massachusetts,104,42.4522222,-71.1375
Joshua D. Kitain,10510137,Orlando,Florida,105,28.5380556,-81.3794444
Gregory A. Harrison,10510137,Oviedo,Florida,106,28.6697222,-81.2083333
Atul Patel,10510137,Oviedo,Florida,107,28.6697222,-81.2083333
Spencer Frazier,10510137,Somerville,Massachusetts,108,42.3875,-71.1
"John McChesney TenEyck, Jr.",10510142,San Antonio,Texas,109,29.4238889,-98.4933333
"Robert S. Welborn, III",10510142,San Antonio,Texas,110,29.4238889,-98.4933333
Robert Kenneth Dohner,10510142,San Antonio,Texas,111,29.4238889,-98.4933333
David Golia,10510142,San Antonio,Texas,112,29.4238889,-98.4933333
Kristina Tomasetti,10510142,San Antonio,Texas,113,29.4238889,-98.4933333
Yan Zhou,10510143,Santa Clara,California,114,37.3541667,-121.9541667
Lei Tan,10510143,Corona,California,115,33.8752778,-117.5655556
Daniel KOPPEL,10510143,San Jose,California,116,37.3394444,-121.8938889
Martin T. Chian,10510143,Los Altos,California,117,37.3852778,-122.1130556
Sachin Subhash Talathi,10510146,San Diego,California,118,32.7152778,-117.1563889
Xin Liu,10510149,Sunnyvale,California,119,37.3688889,-122.0352778
Florin Cutu,10510149,San Jose,California,120,37.3394444,-121.8938889
Alireza Yasan,10510149,San Jose,California,121,37.3394444,-121.8938889
Alan Sheridan,10510151,Apex,North Carolina,122,35.7325,-78.8505556
Charles Thomas Armstrong,10510151,San Jose,California,123,37.3394444,-121.8938889
Philip B. Romanik,10510152,West Haven,Connecticut,124,41.2705556,-72.9475
Neil Lawrence Mayle,10510152,Cambridge,Massachusetts,125,42.375,-71.1061111
